galaxy eta eta_p eta_m f_in f_in_p f_in_m M_gal M_gal_p M_gal_m M_GC_lim M_GC_lim_p M_GC_lim_m M_cl_min M_cl_min_p M_cl_min_m M_cl_max M_cl_max_p M_cl_max_m M_GC_diss M_GC_diss_p M_GC_diss_m
IC2006 -2.1331 0.3956 0.3996 0.7173 0.1772 0.3178 10.366 0.3012 0.2812 6.5674 0.2805 0.2839 1.49 0.3417 0.3288 7.3988 0.2812 0.3812 4.9878 0.3075 0.31
FCC63 -1.8088 0.3986 0.3933 0.9661 0.0228 0.0841 10.4065 0.2951 0.2938 6.8859 0.2875 0.3067 1.568 0.2968 0.3677 7.5301 0.1923 0.2576 4.7331 0.2971 0.2831
FCC193 -2.7502 0.4375 0.436 0.9124 0.0583 0.168 10.5114 0.2928 0.3071 6.6885 0.2969 0.2958 1.5425 0.3215 0.365 7.4373 0.2567 0.3334 4.8786 0.2864 0.3042
FCC170 -2.3351 0.4123 0.4414 0.9218 0.0527 0.1549 10.3153 0.3278 0.296 6.6949 0.2771 0.2626 1.5235 0.3427 0.3515 7.4433 0.2553 0.341 4.7213 0.268 0.2928
FCC153 -2.2643 0.3997 0.4266 0.5212 0.2844 0.3247 9.8727 0.2947 0.2854 6.3245 0.2885 0.2952 1.5093 0.3421 0.341 7.1841 0.4136 0.517 4.7259 0.2882 0.2936
FCC177 -2.0711 0.4051 0.4173 0.6957 0.1918 0.3906 9.9434 0.2959 0.3235 6.3617 0.2748 0.2778 1.5293 0.337 0.343 7.3309 0.3322 0.4945 4.7392 0.3027 0.3266
FCC47 -1.3357 0.4122 0.4347 0.838 0.1091 0.2601 9.9296 0.3065 0.2888 6.5978 0.3084 0.2767 1.5133 0.3261 0.328 7.4853 0.2233 0.3613 4.7149 0.2959 0.3034
FCC43 -2.1414 0.3481 0.4031 0.4274 0.2944 0.2735 9.4381 0.3103 0.3049 6.5398 0.2702 0.2791 1.4493 0.3638 0.3082 7.1538 0.4105 0.3653 4.6895 0.301 0.2952
FCC190 -1.7798 0.3904 0.3885 0.4148 0.2833 0.2748 9.7039 0.2891 0.2983 6.812 0.2662 0.2865 1.4981 0.3466 0.3319 7.2987 0.3342 0.3339 4.6274 0.2827 0.2886
FCC310 -2.1979 0.3899 0.4059 0.8388 0.1034 0.3119 9.6988 0.2846 0.2964 5.9674 0.296 0.2966 1.5715 0.2894 0.3564 7.2873 0.3671 0.6234 4.8618 0.3018 0.324
FCC249 -1.8374 0.4066 0.3912 0.3319 0.2939 0.2234 9.6998 0.3007 0.3067 6.7858 0.2684 0.2532 1.4423 0.3706 0.3229 7.1675 0.4033 0.3118 4.5853 0.2725 0.2901
FCC148 -2.2241 0.4417 0.4273 0.9669 0.0232 0.0759 9.6889 0.3209 0.3035 6.7053 0.2705 0.2599 1.544 0.3107 0.3556 7.4887 0.2245 0.3364 4.8074 0.2905 0.3119
FCC255 -2.0111 0.3968 0.3458 0.377 0.2922 0.2621 9.7199 0.2791 0.2963 6.5036 0.2541 0.2684 1.4886 0.3532 0.3491 7.1173 0.4557 0.4204 4.7992 0.2797 0.3088
FCC277 -2.0836 0.3973 0.3972 0.5554 0.2632 0.3433 9.5173 0.2973 0.2969 6.019 0.2815 0.2856 1.5171 0.3424 0.3579 7.145 0.4469 0.5993 4.7106 0.3067 0.2847
FCC55 -2.3128 0.4211 0.3722 0.5463 0.2686 0.3257 9.5906 0.3097 0.2888 6.0557 0.2935 0.2859 1.4902 0.3345 0.339 7.1271 0.4587 0.5582 4.787 0.2898 0.3047
FCC301 -2.2007 0.3714 0.3927 0.6083 0.2423 0.343 9.2973 0.2948 0.2806 6.313 0.2842 0.291 1.5204 0.3231 0.3383 7.2826 0.3705 0.473 4.7535 0.2922 0.2856
FCC335 -1.511 0.4003 0.4114 0.6193 0.2286 0.3442 9.0916 0.3101 0.3205 7.1553 0.2653 0.2593 1.5348 0.3131 0.3507 7.5584 0.1683 0.1872 4.6871 0.2969 0.318
FCC136 -2.1457 0.4095 0.4015 0.6779 0.1931 0.3265 9.2397 0.301 0.3255 6.5674 0.2768 0.269 1.5443 0.3091 0.3595 7.4003 0.2892 0.4202 4.792 0.305 0.2988
FCC182 -2.1094 0.3902 0.363 0.2901 0.2728 0.199 9.2017 0.2858 0.3185 6.8673 0.2604 0.3118 1.458 0.3693 0.31 7.1481 0.3804 0.2751 4.7267 0.297 0.2928
FCC204 -2.1204 0.4085 0.4188 0.6805 0.1962 0.3535 9.224 0.3028 0.3002 6.0418 0.2849 0.2946 1.5345 0.3274 0.3537 7.2317 0.4084 0.5764 4.8321 0.2904 0.2988
FCC119 -2.2672 0.3574 0.393 0.65 0.2227 0.3563 8.9904 0.2913 0.3051 5.6049 0.2938 0.285 1.5365 0.3289 0.3596 7.0911 0.507 0.7521 4.6814 0.289 0.2983
FCC90 -1.99 0.4076 0.3712 0.3681 0.3093 0.2576 9.0598 0.2895 0.2959 6.1311 0.2846 0.2846 1.5077 0.3317 0.341 6.9402 0.5246 0.5635 4.8082 0.3099 0.2627
FCC106 -1.6415 0.3888 0.3778 0.5589 0.2524 0.3188 9.1233 0.2819 0.2826 7.3158 0.2595 0.2726 1.5116 0.3422 0.3447 7.6283 0.1181 0.1373 4.687 0.2965 0.278
FCC19 -1.8304 0.3725 0.3829 0.5935 0.2484 0.3539 8.5274 0.3053 0.3222 6.0731 0.2723 0.2961 1.5333 0.3194 0.344 7.122 0.4576 0.5406 4.8229 0.2809 0.2963
FCC202 -1.9446 0.4173 0.4002 0.6767 0.1989 0.3177 9.022 0.2877 0.3025 7.1653 0.2884 0.275 1.4991 0.3303 0.3316 7.5851 0.1518 0.1653 4.689 0.302 0.3046
FCC324 -1.858 0.3531 0.399 0.2917 0.2825 0.2092 8.6516 0.3037 0.2918 6.2194 0.2482 0.2501 1.4975 0.3334 0.3492 6.4847 0.5141 0.3045 4.706 0.2805 0.297
FCC288 -2.0781 0.3776 0.3711 0.5124 0.2555 0.3232 8.8143 0.297 0.3101 6.1417 0.2857 0.2943 1.5154 0.3243 0.3496 7.1406 0.4564 0.5877 4.648 0.3005 0.296
FCC303 -1.5163 0.3868 0.435 0.6544 0.2014 0.3454 8.7067 0.3104 0.2948 6.2727 0.2797 0.2917 1.5177 0.3258 0.3435 7.2988 0.3632 0.5072 4.7136 0.2802 0.31
FCC203 -1.8676 0.4129 0.3797 0.3294 0.2985 0.2294 8.9253 0.3045 0.2849 6.5796 0.274 0.2645 1.5023 0.3335 0.3353 6.999 0.4929 0.358 4.801 0.2946 0.2871
FCC100 -1.8623 0.395 0.3867 0.382 0.3065 0.2685 8.9042 0.3051 0.3025 6.0198 0.2774 0.2934 1.4846 0.3304 0.3285 6.9219 0.5645 0.5573 4.7044 0.2859 0.2867
