galaxy eta eta_p eta_m f_in f_in_p f_in_m M_gal M_gal_p M_gal_m M_GC_lim M_GC_lim_p M_GC_lim_m M_cl_min M_cl_min_p M_cl_min_m M_cl_max M_cl_max_p M_cl_max_m M_GC_diss M_GC_diss_p M_GC_diss_m
VCC1720 -2.4965 0.4427 0.4153 0.8444 0.1011 0.2347 10.3334 0.3 0.3165 6.574 0.267 0.2803 1.5273 0.3285 0.3577 7.4343 0.2715 0.4208 4.7283 0.2903 0.309
VCC1619 -2.3295 0.4899 0.4507 0.9391 0.0423 0.1623 10.2195 0.3196 0.3109 6.534 0.2709 0.2748 1.5486 0.3284 0.3666 7.414 0.2816 0.4073 4.8054 0.2772 0.2985
VCC1883 -2.3759 0.4284 0.4435 0.682 0.1992 0.319 10.2063 0.3193 0.3015 6.7247 0.2807 0.2699 1.4904 0.3267 0.3372 7.435 0.2573 0.3501 4.5327 0.2863 0.2891
VCC1242 -2.1728 0.4032 0.4055 0.4995 0.2858 0.3108 10.1813 0.3054 0.3188 6.8191 0.2737 0.3003 1.4784 0.3656 0.3174 7.391 0.2858 0.3218 4.8353 0.2841 0.2843
VCC784 -2.4403 0.5156 0.4883 0.8445 0.105 0.3041 10.1834 0.318 0.3054 6.2365 0.2803 0.299 1.5032 0.3443 0.3306 7.3675 0.3097 0.5376 4.7511 0.3119 0.3007
VCC828 -2.2356 0.4039 0.4264 0.8568 0.0962 0.2665 10.0921 0.3069 0.2952 6.8841 0.2833 0.2765 1.5031 0.3329 0.3378 7.4895 0.2225 0.2869 4.8201 0.2909 0.2857
VCC1250 -2.2416 0.4085 0.3876 0.8069 0.1302 0.3234 9.5276 0.3206 0.2843 6.3272 0.3024 0.2963 1.5453 0.3113 0.3709 7.2684 0.3651 0.5118 4.905 0.2955 0.3011
VCC1630 -2.2728 0.4601 0.4592 0.9344 0.0469 0.1614 10.0865 0.2927 0.3063 6.4423 0.2961 0.3084 1.5482 0.3071 0.3693 7.3904 0.3046 0.4789 4.8056 0.2802 0.3105
VCC1146 -1.9324 0.4206 0.3952 0.9886 0.0076 0.0297 9.891 0.299 0.2905 6.9635 0.302 0.2668 1.5464 0.3267 0.367 7.569 0.1643 0.2172 4.9493 0.2923 0.2769
VCC1913 -2.1225 0.4826 0.4535 0.9313 0.047 0.1202 9.9755 0.298 0.3216 6.7999 0.2631 0.278 1.5534 0.3047 0.3732 7.494 0.2121 0.3085 4.6226 0.282 0.3024
