galaxy M_NSC e_M_NSC R_NSC e_R_NSC Reff M_gal e_M_gal M_GCS e_M_GCS M_GC_min e_M_GC_min M_GC_max e_M_GC_max r_GC_max e_r_GC_max
IC2006 203029927.78 25456675.84 13.73 0.9 999.9 24140000000.0 7242000000.0 83982445.17 9561212.26 76185.57 7523.97 4681771.41 174466.5 3.72 0.21
FCC63 3132659232.09 191016152.55 92.0 3.33 18.0 26760000000.0 8028000000.0 188195141.58 22212287.11 53759.07 23377.38 12161175.37 733722.66 7.06 0.21
FCC193 202877108.44 28855644.58 9.98 0.37 20.1 33200000000.0 9960000000.0 25902869.09 6398106.78 54517.21 38375.38 4874300.89 5681722.73 2.19 0.79
FCC170 397647530.72 41149744.45 22.04 0.45 12.9 22500000000.0 6750000000.0 39005090.67 9672063.94 58516.19 16451.77 6728381.37 265367.09 4.91 0.2
FCC153 25581548.65 1423050.96 15.5 0.25 11.3 7600000000.0 2280000000.0 22443838.67 5271502.55 58802.16 4466.25 2087799.17 128282.23 4.33 0.21
FCC177 88754957.26 9837299.47 11.6 1.13 12.6 8500000000.0 2550000000.0 36538120.26 7143548.4 43186.95 17391.6 2888114.19 130585.49 2.39 0.18
FCC47 949772332.39 423025892.84 69.0 8.74 30.0 9330000000.0 2799000000.0 178202140.84 15269087.85 51651.56 3555.99 5148181.21 453998.86 9.9 0.44
FCC43 6137503.04 2892550.18 8.41 8.88 21.0 2990000000.0 897000000.0 13610337.3 4491255.62 55902.78 10210.01 3421034.65 606667.96 6.23 1.11
FCC190 21566457.61 8031246.76 12.67 1.17 16.3 5400000000.0 1620000000.0 76610046.32 10387933.16 51592.81 3035.67 6473409.72 559713.43 5.53 0.27
FCC310 94254928.72 34014236.98 34.81 3.36 25.8 5400000000.0 1620000000.0 11497956.39 3444083.75 59462.85 6186.31 1210263.28 29757.62 3.49 0.25
FCC249 10824713.24 1817884.31 2.84 0.41 13.8 5000000000.0 1500000000.0 85607704.54 11113774.65 48841.24 5278.72 5289769.46 507829.29 5.63 0.29
FCC148 318668444.55 70430131.83 25.48 5.06 26.9 5800000000.0 1740000000.0 12364224.17 11356424.03 73190.46 14133.65 6879963.15 293308.56 3.14 0.22
FCC255 13896834.35 1483272.99 2.58 0.14 13.8 5000000000.0 1500000000.0 44582045.38 7931408.14 61499.15 18312.46 2909137.5 46956.8 3.92 0.13
FCC277 23689084.12 7457143.67 8.66 0.9 10.1 3400000000.0 1020000000.0 14381087.76 3340319.73 42400.46 5365.54 1722056.73 1663920.35 1.89 0.93
FCC55 17432547.62 769498.8 6.13 0.14 7.9 4000000000.0 1200000000.0 9202334.25 2394506.8 52229.32 10684.72 1274745.63 48910.75 4.38 0.28
FCC301 11270081.96 1316171.78 1.57 0.18 12.4 2000000000.0 600000000.0 5586093.22 2876415.05 50368.62 4660.26 2474989.18 79511.28 2.9 0.37
FCC335 19913384.79 967041.42 8.11 0.18 12.9 1270000000.0 381000000.0 23164853.39 20393567.42 47289.09 7096.42 18363851.53 5455662.91 8.16 1.41
FCC136 11586175.96 1235525.27 4.91 0.21 16.3 1960000000.0 588000000.0 5744914.3 1807222.61 60975.75 11313.39 4444275.79 220333.24 6.13 0.26
FCC182 1455813.48 112614.17 3.85 0.14 11.4 1500000000.0 450000000.0 14034442.07 4054746.04 73126.17 4928.96 5669172.66 83145.74 3.16 0.15
FCC204 17759561.3 4807615.99 9.37 1.36 12.9 1800000000.0 540000000.0 4577239.51 2303098.11 57849.93 19346.0 1285118.59 91986.04 8.04 0.6
FCC119 8661395.43 209290.45 2.79 0.53 12.7 1000000000.0 300000000.0 1599931.38 947369.9 49561.17 3315.82 464837.04 10975.98 5.49 0.4
FCC90 4214193.63 841782.38 7.04 0.29 9.6 1200000000.0 360000000.0 8141106.95 3099218.37 80798.78 8252.16 1244653.8 20616.51 3.85 0.22
FCC106 10173982.26 1249243.46 3.95 0.21 10.4 1440000000.0 432000000.0 20035308.48 31296922.41 46609.4 3655.54 13765910.27 2322650.35 1.95 0.6
FCC19 5089551.42 280844.44 3.75 0.18 13.1 340000000.0 102000000.0 1812189.03 990612.79 60124.34 16166.04 1509516.85 233545.09 9.81 0.9
FCC202 7296889.61 435175.83 5.07 0.21 9.8 1080000000.0 324000000.0 5874249.21 12142232.78 54777.73 6186.25 20578734.66 739788.29 5.38 0.26
FCC324 744242.03 35052.46 3.45 0.29 18.9 570000000.0 171000000.0 6334699.66 2507302.0 47760.41 9363.08 1107017.23 121131.86 1.93 0.4
FCC288 3516395.27 206232.99 7.9 0.21 9.8 650000000.0 195000000.0 2894013.66 1497271.3 53856.0 7375.34 1453106.87 156226.83 1.9 0.31
FCC303 16428014.47 1252706.26 7.95 0.32 13.5 520000000.0 156000000.0 7406031.04 2862212.43 50823.6 5554.03 2368265.05 168824.01 6.69 0.4
FCC203 2277016.0 319758.39 4.61 0.32 13.0 930000000.0 279000000.0 11397248.11 5169115.39 57559.81 5771.73 2931629.19 38260.24 3.14 0.19
FCC100 4720021.27 284731.93 7.24 0.21 16.8 860000000.0 258000000.0 6992967.92 1876162.58 54194.21 14136.58 929640.62 124487.45 10.24 1.96
