galaxy M_NSC e_M_NSC R_NSC e_R_NSC Reff M_gal e_M_gal M_GCS e_M_GCS M_GC_min e_M_GC_min M_GC_max e_M_GC_max r_GC_max e_r_GC_max
IC2006 210270711.62 28000069.95 13.73 0.9 101315.83157588539 24140000000.0 7242000000.0 84126489.43 9517375.53 85354.54 5887.48 3217835.47 78173.17 4.09 0.1
FCC63 3100182608.09 215343174.76 92.0 3.33 1823.8673551014472 26760000000.0 8028000000.0 187855754.37 21484678.63 55403.3 3964.53 11735634.07 567696.68 7.06 0.21
FCC193 197314206.84 29126471.9 9.98 0.37 2036.6518798632828 33200000000.0 9960000000.0 25985567.39 6847612.8 98204.01 16461.0 1862243.95 1049093.87 2.19 0.79
FCC170 394171120.63 39333229.23 22.04 0.45 1307.1049378227037 22500000000.0 6750000000.0 39331974.62 9993328.04 59832.32 8073.91 4812162.5 708425.42 4.65 0.26
FCC153 25643696.8 1473603.76 15.5 0.25 1144.9833951470196 7600000000.0 2280000000.0 22336704.02 5222674.09 65847.66 4950.67 1276174.74 33894.42 3.17 0.2
FCC177 90110152.01 12942166.51 11.6 1.13 1276.707148571013 8500000000.0 2550000000.0 36298787.84 7031575.01 140751.49 40450.56 2641105.59 109228.27 2.82 0.19
FCC47 850600292.46 374840823.59 69.0 8.74 3039.778925169079 9330000000.0 2799000000.0 179430541.97 15162710.8 50258.3 3520.96 3613529.94 185353.39 3.42 0.19
FCC43 6467586.56 3247798.07 8.41 8.88 2127.845247618355 2990000000.0 897000000.0 13915981.48 4741359.61 91305.8 33319.31 2597109.1 311642.23 3.41 0.63
FCC190 21930574.6 6938116.5 12.67 1.17 1651.6132160085328 5400000000.0 1620000000.0 77688814.35 9861069.9 52837.74 9060.55 3382945.45 69982.21 3.51 0.21
FCC310 98626026.75 34530265.93 34.81 3.36 2614.2098756454075 5400000000.0 1620000000.0 11519796.26 3654779.72 85358.51 12576.17 1019804.15 42291.0 3.23 0.32
FCC249 10969713.93 1881818.55 2.84 0.41 1398.2983055777763 5000000000.0 1500000000.0 86336761.2 11567160.72 82792.74 59774.27 3320708.91 210511.9 3.55 0.34
FCC148 364322175.45 150037478.59 25.48 5.06 2725.66843623494 5800000000.0 1740000000.0 12767170.71 10787253.61 72533.48 7097.34 4998507.32 140735.26 5.96 0.12
FCC255 13711113.28 1295561.73 2.58 0.14 1398.2983055777763 5000000000.0 1500000000.0 43779647.7 7928878.97 77523.42 17445.64 2467170.39 268968.78 7.46 2.11
FCC277 23588789.42 6817334.17 8.66 0.9 1023.3922381402564 3400000000.0 1020000000.0 14443474.09 3557817.2 71764.09 6186.43 850626.7 73784.24 4.01 0.29
FCC55 17466601.37 849556.86 6.13 0.14 800.4751169611907 4000000000.0 1200000000.0 9437611.95 2488955.43 96230.56 4323.99 837502.93 73992.31 4.37 0.3
FCC301 10976245.8 1185231.57 1.57 0.18 1256.4419557365525 2000000000.0 600000000.0 5378816.14 2845509.78 81181.28 4543.52 1151270.97 37372.53 1.8 0.17
FCC335 19863586.47 1101353.49 8.11 0.18 1307.1049378227037 1270000000.0 381000000.0 23183782.65 19282063.97 129479.23 29559.56 1927194.72 166491.54 4.65 0.2
FCC136 11546575.78 1258501.96 4.91 0.21 1651.6132160085328 1960000000.0 588000000.0 5766268.87 1809698.84 74642.66 5983.87 1424583.18 71771.38 2.85 0.17
FCC182 1434317.99 92597.23 3.85 0.14 1155.11599156425 1500000000.0 450000000.0 14046032.9 4132898.66 85569.03 3560.14 1674951.85 35688.5 5.12 0.09
FCC204 18658698.12 4641947.73 9.37 1.36 1307.1049378227037 1800000000.0 540000000.0 4406094.5 2067729.33 80747.11 28337.97 734886.2 37592.54 3.06 0.35
FCC119 8738235.96 525636.51 2.79 0.53 1286.8397449882432 1000000000.0 300000000.0 1620921.98 956246.06 64476.23 21026.42 403830.38 33355.45 5.6 0.39
FCC90 4227534.74 790883.19 7.04 0.29 972.7292560541051 1200000000.0 360000000.0 8319745.42 3114500.37 90334.49 8811.74 887079.48 128531.78 4.69 0.29
FCC106 10258218.25 1328551.0 3.95 0.21 1053.7900273919472 1440000000.0 432000000.0 20583372.32 28950177.08 138083.91 8541.58 7753223.39 252072.98 2.17 0.14
FCC19 5108773.37 272218.56 3.75 0.18 1327.3701306571643 340000000.0 102000000.0 1840240.8 1078677.02 63173.49 31599.37 525607.74 33043.86 5.13 0.39
FCC202 7320972.98 420161.24 5.07 0.21 992.9944488885658 1080000000.0 324000000.0 6002611.01 12602477.25 70900.21 38044.56 20827492.65 483232.32 5.38 0.26
FCC324 741200.69 38378.07 3.45 0.29 1915.0607228565193 570000000.0 171000000.0 6373647.25 2621709.0 117406.18 7788.34 1018604.93 77544.06 1.93 0.4
FCC288 3524547.77 202022.16 7.9 0.21 992.9944488885658 650000000.0 195000000.0 2797451.08 1511023.31 79881.72 18627.15 1355070.98 172741.71 1.9 0.31
FCC303 16329047.26 1151944.8 7.95 0.32 1367.9005163260854 520000000.0 156000000.0 7444495.25 2817766.21 109946.21 28143.38 967435.05 136006.61 5.9 0.49
FCC203 2321375.13 372601.62 4.61 0.32 1317.2375342399341 930000000.0 279000000.0 10890130.9 4738154.72 89098.73 662.64 1256144.63 46046.63 4.34 0.23
FCC100 4618161.41 265891.22 7.24 0.21 1702.276198094684 860000000.0 258000000.0 7022139.23 1819787.07 74212.54 5901.95 547379.92 85758.16 6.65 0.55
