galaxy M_NSC e_M_NSC R_NSC e_R_NSC Reff M_gal e_M_gal M_GCS e_M_GCS M_GC_min e_M_GC_min M_GC_max e_M_GC_max
VCC1720 147372698.24 29773053.56 6.8 1.13 2601.41 20210000000.0 5310000000.0 31636784.3 7016624.52 54553.1 8498.86 4805542.68 574731.2
VCC1619 484006563.35 90030482.71 25.84 1.13 834.34 17240000000.0 3120000000.0 28484955.89 7423151.13 65767.75 11024.75 4761594.95 88811.85
VCC1883 61861745.38 20445317.61 1.92 1.13 1999.05 16660000000.0 3920000000.0 35318426.54 12015932.24 33080.03 5236.16 7260092.01 886747.15
VCC1242 43303029.05 5516923.3 2.8 1.13 1350.3 15270000000.0 3170000000.0 62071768.95 14519872.58 69511.72 4524.22 7346826.11 273111.26
VCC784 169357159.9 23019106.16 12.88 1.13 1139.12 16790000000.0 3140000000.0 16672724.78 5260739.19 59862.15 2158.05 2137025.36 66242.07
VCC828 131868365.64 23196765.81 16.64 1.13 864.74 13690000000.0 3000000000.0 32525428.99 6686501.73 69746.83 18493.44 9890542.92 762634.59
VCC1250 42222266.87 9715537.0 2.08 1.13 885.54 3680000000.0 2040000000.0 8478288.64 3607832.94 81917.32 5213.45 2545095.9 58968.43
VCC1630 394066481.61 51348663.21 40.08 1.13 1063.12 11610000000.0 2390000000.0 24278456.68 8349888.49 62590.86 38389.53 4016910.18 182490.92
VCC1146 2113134344.74 544452002.98 62.4 1.13 1487.89 8690000000.0 2170000000.0 39066969.15 8525713.38 92724.51 84099.53 15125863.07 939174.54
VCC1913 331465621.49 65063178.63 47.76 1.13 1173.51 10740000000.0 2720000000.0 29461607.5 6305936.76 41561.54 13352.18 9240183.18 1133977.0
VCC1125 9429562.98 2616253.28 4.8 1.13 1060.72 8060000000.0 3400000000.0 19402393.83 3854670.67 55250.46 11180.44 3735922.25 194327.82
VCC1283 17868930.16 3540683.4 4.24 1.13 1542.29 9080000000.0 1790000000.0 19508488.29 3745415.59 61069.77 20121.84 2662454.19 46199.49
VCC1261 35190669.88 12228675.42 3.08 1.13 1675.88 4870000000.0 1690000000.0 15437601.36 5188540.83 66292.97 8173.11 4910715.16 655491.73
VCC698 27851096.16 8626711.15 3.28 1.13 1280.71 9520000000.0 2560000000.0 45636341.56 6276816.21 84080.99 36004.0 4259715.41 226333.8
VCC1422 18683548.58 6163931.1 2.92 1.13 1543.09 3820000000.0 1350000000.0 11530071.55 3245074.09 53193.56 18184.44 3019008.8 1666104.74
VCC2048 5362367.01 2140714.35 2.72 1.13 951.93 2940000000.0 1080000000.0 10200229.8 4479179.1 98143.52 18407.02 3042379.04 268921.7
VCC1871 75210957.43 23413806.56 9.32 1.13 545.56 2260000000.0 580000000.0 5726249.84 4098866.06 72082.19 33790.84 5005772.64 190790.88
VCC9 1854650.86 362273.77 2.96 1.13 2369.43 3080000000.0 610000000.0 10346304.39 3741588.85 83685.21 65659.67 1705963.08 141762.95
VCC1910 24411062.86 7488943.77 3.04 1.13 1001.53 2100000000.0 810000000.0 31111837.7 9195709.8 77168.46 12184.88 16465247.88 800769.07
VCC856 46453833.85 17693809.17 12.64 1.13 1177.51 2220000000.0 850000000.0 17838944.67 4220687.87 75877.18 35241.33 2794229.4 215428.19
VCC140 2071339.84 676475.27 2.08 1.13 739.15 2330000000.0 710000000.0 7244858.68 2515926.0 75013.34 30378.02 1758011.63 83680.55
VCC1355 5798066.61 1980827.77 3.24 1.13 1963.86 1820000000.0 350000000.0 2698780.95 1993495.62 65381.82 17219.91 1941265.59 53911.16
VCC1087 21095143.42 6401598.51 2.16 1.13 1509.49 3290000000.0 1070000000.0 25822016.64 5088287.88 77673.7 7160.74 31480033.73 28577534.25
VCC1861 15569674.72 4714623.52 10.24 1.13 1211.11 2880000000.0 1000000000.0 21067437.71 5671431.33 58104.69 13877.88 8377444.59 2744440.79
VCC543 2579791.4 839297.04 14.12 1.13 1371.1 2190000000.0 650000000.0 4926500.29 1712013.41 76581.39 4324.52 1189732.38 143562.37
VCC1431 26832721.19 9447955.17 18.84 1.13 788.74 2200000000.0 740000000.0 21237496.02 4864372.77 71601.58 5850.1 3533331.81 625104.17
VCC1528 1867556.65 643584.55 1.32 1.13 791.94 1630000000.0 480000000.0 16527968.67 3763524.37 51074.49 22658.86 2036572.04 194320.66
VCC1695 2507786.01 722036.61 1.84 1.13 1616.68 1690000000.0 780000000.0 3854576.05 1966332.84 70379.68 14359.31 1844873.22 41448.1
VCC437 15456421.43 5598901.29 6.88 1.13 2001.45 2800000000.0 1250000000.0 12124725.27 2690030.56 65237.63 12123.59 3760570.79 736994.19
VCC2019 15643678.37 5508972.71 2.64 1.13 1219.91 1020000000.0 720000000.0 9246585.23 3103058.05 89045.54 3598.21 12978960.13 1295335.88
VCC33 1817540.41 518167.39 2.6 1.13 727.95 430000000.0 250000000.0 2908361.5 302387.5 78190.34 12120.61 863291.55 1660619.43
VCC200 1025926.0 319326.01 3.64 1.13 1023.93 1340000000.0 490000000.0 2220323.3 937412.46 79136.09 6286.38 931779.86 87763.55
VCC21 5801679.94 523460.8 2.48 1.13 780.74 560000000.0 370000000.0 8465432.75 4602816.2 64759.86 4681.63 3277974.69 102326.22
VCC1488 381043.16 86951.15 2.0 1.13 744.75 410000000.0 380000000.0 1424444.21 854469.09 82090.65 32670.01 855122.24 127528.59
VCC1779 1345093.38 336036.03 1.8 1.13 861.54 1020000000.0 380000000.0 2606412.2 150797.2 116768.69 19538.14 1130337.39 88688.64
VCC1895 513450.63 156517.13 1.76 1.13 805.54 760000000.0 390000000.0 4655527.5 135458.0 83416.96 55811.12 1104168.46 50981.58
VCC1545 2919204.54 1056518.48 3.48 1.13 899.13 1410000000.0 420000000.0 15331381.15 3322469.92 39943.76 5242.62 1891584.01 129298.97
VCC1192 50725321.06 16774110.96 9.64 1.13 581.56 1850000000.0 620000000.0 3328284.95 4012957.25 75449.27 38632.86 5984642.36 152794.35
VCC1857 4627256.3 1506356.58 3.28 1.13 1665.48 730000000.0 140000000.0 9138526.0 275194.1 71105.39 20387.93 3871956.55 110385.63
VCC1075 4997901.94 1406478.03 3.16 1.13 1165.52 1110000000.0 470000000.0 5613720.72 2074672.79 65686.57 19217.35 2313197.08 155214.34
VCC1948 327950.95 111839.28 3.8 1.13 875.14 500000000.0 90000000.0 3167296.0 171154.4 76388.7 17756.38 815916.97 78497.61
VCC1627 89033884.38 22143532.76 15.76 1.13 298.38 1030000000.0 320000000.0 32691750.9 1105918.7 84557.82 10228.47 27379865.37 759139.15
VCC1440 34108628.67 9318117.62 4.76 1.13 619.95 1190000000.0 440000000.0 6848607.95 2319063.52 52489.41 41610.73 1227061.71 36521.73
VCC230 13296904.29 4569424.41 2.84 1.13 776.74 690000000.0 290000000.0 6800157.4 1758647.36 85480.47 10199.95 45007531.8 11582201.02
