galaxy M_NSC e_M_NSC R_NSC e_R_NSC Reff M_gal e_M_gal M_GCS e_M_GCS M_GC_min e_M_GC_min M_GC_max e_M_GC_max
VCC1720 150673212.92 28856402.46 6.8 1.13 2601.41 20210000000.0 5310000000.0 31426725.99 7445086.87 66663.06 15648.02 2670812.86 171919.75
VCC1619 472906505.36 87728375.21 25.84 1.13 834.34 17240000000.0 3120000000.0 28150706.75 7579487.04 81841.25 33885.68 2504071.23 169453.84
VCC1883 60087498.56 22352607.9 1.92 1.13 1999.05 16660000000.0 3920000000.0 35294384.62 12124654.87 68458.55 30232.19 4160487.28 229684.38
VCC1242 43128541.89 5713418.39 2.8 1.13 1350.3 15270000000.0 3170000000.0 60885324.06 13574463.11 60743.27 10813.03 7201323.97 461052.43
VCC784 168642231.2 27912513.63 12.88 1.13 1139.12 16790000000.0 3140000000.0 16467435.91 4974650.94 67969.57 16250.87 1902888.11 91660.22
VCC828 127198878.17 25647581.35 16.64 1.13 864.74 13690000000.0 3000000000.0 32551876.39 6675094.02 70381.05 27968.27 3913534.24 152816.75
VCC1250 42580640.25 8462730.12 2.08 1.13 885.54 3680000000.0 2040000000.0 8694846.45 3560696.29 79658.17 20058.41 2260457.56 979133.78
VCC1630 406629284.99 41508308.29 40.08 1.13 1063.12 11610000000.0 2390000000.0 24579770.71 8444260.0 80846.96 25603.12 2304082.91 328935.0
VCC1146 2092299062.55 585582714.05 62.4 1.13 1487.89 8690000000.0 2170000000.0 39497021.42 8481248.79 99118.21 95238.95 12086765.14 593486.71
VCC1913 336615602.95 62687128.67 47.76 1.13 1173.51 10740000000.0 2720000000.0 29487291.73 6313063.43 69448.69 12786.29 4810386.06 248896.53
VCC1125 10569600.44 3953969.78 4.8 1.13 1060.72 8060000000.0 3400000000.0 19263611.86 3964044.73 57779.96 12417.27 2043487.7 121594.71
VCC1283 18685503.25 3314495.09 4.24 1.13 1542.29 9080000000.0 1790000000.0 19516732.67 4005501.53 65928.67 21393.97 2292947.64 113484.21
VCC1261 34356999.64 11700694.3 3.08 1.13 1675.88 4870000000.0 1690000000.0 15385007.68 4834160.91 73813.7 3335.16 3846546.18 190221.75
VCC698 25453169.87 7657244.48 3.28 1.13 1280.71 9520000000.0 2560000000.0 45706963.24 6235892.71 106036.61 8910.45 2280284.36 195125.93
VCC1422 17953465.33 5438373.13 2.92 1.13 1543.09 3820000000.0 1350000000.0 11426499.39 3238507.58 64943.02 8889.2 1961266.62 100213.13
VCC2048 5036376.99 1601607.51 2.72 1.13 951.93 2940000000.0 1080000000.0 10098290.04 4001804.03 125912.67 3531.56 1615353.18 57933.15
VCC1871 73434604.82 22066077.77 9.32 1.13 545.56 2260000000.0 580000000.0 5597555.81 3885765.34 88929.72 40745.21 3061893.85 410029.5
VCC9 1798236.22 432442.96 2.96 1.13 2369.43 3080000000.0 610000000.0 10404533.03 3888922.95 88365.59 23979.77 1644873.28 76444.79
VCC1910 24589136.36 8426458.87 3.04 1.13 1001.53 2100000000.0 810000000.0 31314216.06 8505798.01 91665.31 49416.65 3589415.31 194359.63
VCC856 49170957.39 18681086.63 12.64 1.13 1177.51 2220000000.0 850000000.0 17923055.39 4266100.19 94471.74 7321.8 2792100.74 196432.01
VCC140 1968005.14 630379.58 2.08 1.13 739.15 2330000000.0 710000000.0 7265443.87 2468985.77 87579.07 25542.52 1285220.36 138927.83
VCC1355 6131052.27 2356143.74 3.24 1.13 1963.86 1820000000.0 350000000.0 2589558.78 2051188.56 100101.68 12647.59 627346.82 22948.8
VCC1087 21046723.79 6069899.65 2.16 1.13 1509.49 3290000000.0 1070000000.0 25587401.23 4930809.05 94119.02 4882.65 3734502.2 182291.24
VCC1861 14313640.81 4638806.45 10.24 1.13 1211.11 2880000000.0 1000000000.0 21413506.04 5888917.1 80966.86 14718.83 2761867.57 47274.05
VCC543 2481534.05 769722.04 14.12 1.13 1371.1 2190000000.0 650000000.0 4872010.51 1807516.62 124262.02 41846.82 1124055.4 54133.23
VCC1431 26619624.76 9972086.46 18.84 1.13 788.74 2200000000.0 740000000.0 21142993.26 4743658.72 77252.9 6310.87 3046672.56 196949.36
VCC1528 1870138.87 634107.45 1.32 1.13 791.94 1630000000.0 480000000.0 16798179.86 3729447.96 118941.08 4882.67 2005559.17 137334.92
VCC1695 2615236.3 684543.78 1.84 1.13 1616.68 1690000000.0 780000000.0 3781210.29 1853708.34 86756.27 9995.98 1445096.48 320507.58
VCC437 15928884.34 6529123.61 6.88 1.13 2001.45 2800000000.0 1250000000.0 12138339.87 2726052.59 81747.75 27600.29 2190551.03 362585.52
VCC2019 14527047.72 5297215.48 2.64 1.13 1219.91 1020000000.0 720000000.0 9219916.04 3059247.92 144062.76 22624.41 2828025.67 242545.55
VCC33 1845909.47 592544.5 2.6 1.13 727.95 430000000.0 250000000.0 2630061.0 193495.3 96849.55 32145.51 515946.65 173941.95
VCC200 999796.71 329183.06 3.64 1.13 1023.93 1340000000.0 490000000.0 2211776.19 920281.21 76365.49 9996.93 819329.45 44141.94
VCC21 5788762.71 487430.65 2.48 1.13 780.74 560000000.0 370000000.0 8496768.36 5049385.76 77629.66 5664.38 2614166.23 73092.83
VCC1488 366165.96 71597.77 2.0 1.13 744.75 410000000.0 380000000.0 1401211.33 921645.45 114372.48 38060.38 549015.36 87253.59
VCC1779 1282675.17 266933.9 1.8 1.13 861.54 1020000000.0 380000000.0 2402506.8 148165.0 147504.23 20003.68 320577.79 10865.49
VCC1895 540216.2 152784.89 1.76 1.13 805.54 760000000.0 390000000.0 4469529.9 132127.4 99797.63 43145.85 662497.66 23992.27
VCC1545 2839974.25 832009.25 3.48 1.13 899.13 1410000000.0 420000000.0 15321744.88 3449351.59 56021.36 15519.03 1713114.33 49792.74
VCC1192 48973192.94 18142057.95 9.64 1.13 581.56 1850000000.0 620000000.0 3433486.5 4040248.01 63067.43 36497.4 4476584.9 46934.28
VCC1857 4213870.83 861852.67 3.28 1.13 1665.48 730000000.0 140000000.0 9408085.3 315494.6 85102.29 21568.2 1142714.35 46602.11
VCC1075 5992143.45 2297871.12 3.16 1.13 1165.52 1110000000.0 470000000.0 5596737.27 1994876.29 71661.8 15946.31 955052.89 45637.18
VCC1948 338574.74 130882.92 3.8 1.13 875.14 500000000.0 90000000.0 2924601.3 196884.0 113188.58 21033.24 453467.17 37643.46
VCC1627 92527003.28 20706542.77 15.76 1.13 298.38 1030000000.0 320000000.0 32308177.3 1031481.5 190740.47 24801.02 1928577.54 572572.47
VCC1440 32502592.75 11080946.79 4.76 1.13 619.95 1190000000.0 440000000.0 6958976.25 2264969.63 83861.9 8635.03 882689.13 16032.6
VCC230 13150071.24 5011397.56 2.84 1.13 776.74 690000000.0 290000000.0 6659675.69 1697320.39 82536.33 5095.84 952833.19 63484.88
VCC2050 1681310.66 598933.61 5.56 1.13 863.94 290000000.0 260000000.0 1958502.69 919486.71 70543.32 13922.36 793918.59 1172618.93
VCC751 5290085.02 1794195.06 3.24 1.13 795.94 1410000000.0 510000000.0 2845136.79 1471153.96 156975.14 59836.74 757462.48 29261.8
VCC1828 4266168.33 1538904.57 4.68 1.13 1163.92 1260000000.0 470000000.0 6162997.76 1988536.24 98775.57 15880.36 1680350.74 763366.96
VCC538 6042592.9 2239708.23 2.52 1.13 385.57 630000000.0 260000000.0 2027372.8 189663.1 93146.83 38305.14 432674.12 147661.6
VCC1407 10871048.86 4020311.11 10.88 1.13 813.54 1240000000.0 420000000.0 9891194.12 1998699.06 92091.1 15764.24 1067263.74 106665.1
VCC1886 2393544.95 874804.27 3.08 1.13 1008.73 510000000.0 100000000.0 2419051.48 2163172.3 105470.61 28660.11 1758878.9 79279.8
VCC1199 34981440.4 10551236.33 5.52 1.13 272.78 580000000.0 160000000.0 4671840.44 5403647.42 44164.72 25553.08 6639169.37 354462.4
VCC1539 7563753.02 2894354.06 19.84 1.13 2103.85 520000000.0 110000000.0 9980051.26 2783610.03 81413.06 12934.76 2097764.45 104436.5
VCC1185 6306658.13 1851228.97 4.28 1.13 1479.89 890000000.0 510000000.0 4064737.34 1884759.93 149978.74 42871.75 850199.01 13859.86
VCC1826 19019349.18 6694344.21 1.96 1.13 564.76 610000000.0 220000000.0 6166590.9 395872.0 103372.72 2617.72 1263630.43 51133.64
VCC1489 1482471.52 455396.89 4.36 1.13 831.94 320000000.0 60000000.0 3124160.1 1388153.28 91588.41 22942.89 581730.48 55132.97
VCC1661 13136900.93 4060078.0 6.44 1.13 4645.26 430000000.0 80000000.0 2270132.76 1168158.24 67093.12 51162.1 704462.98 120393.86
