galaxy M_GCS M_NSC Reff eReff M_gal M_GC_max M_GC_min
SagdSph 2780000.0 1148153.6214968818 0.0 0.0 131825673.85564047 2162723.545267086 89154.90832649833
M31 180000000.0 48977881.93684466 0.0 0.0 89125093813.3744 7117378.322499612 66515.32650954045
NGC205 1400000.0 1995262.3149688789 0.0 0.0 1071519305.2376049 1035778.8002065889 69206.21632437695
NGC4552 560000000.0 9120108.393559096 0.0 0.0 263026799189.53815 32295980.570127003 45664.58012529054
KK197 380189.39632056124 1023292.9922807537 0.0 0.0 39810717.05534969 730365.3775353116 82548.0034495636
MW 45708818.96148752 25118864.315095823 0.7 0.1 60255958607.435684 5063085.868789311 66412.95248321292
NGC205 1819700.8586099825 1995262.3149688789 0.66 0.03 1071519305.2376049 3353224.0738935038 78316.55351617066
NGC5102 1348962.8825916534 74131024.13009177 1.03 0.08 6918309709.189363 2512146.4642948033 75450.72197439539
NGC4578 14125375.446227554 52480746.02497723 2.46 0.08 30199517204.02019 5528478.658318815 50276.00514691238
NGC1023 138038426.46028867 4365158.322401657 2.19 0.15 42657951880.15934 4889089.64206095 66253.12643240034
NGC3115 154881661.89124796 15135612.484362071 1.51 0.06 74131024130.09161 4234545.560946477 53971.679938575544
NGC3384 30902954.32513592 21877616.23949552 1.4 0.09 28840315031.266117 8828819.518129146 55547.40539375595
NGC4697 64565422.903465495 27542287.03338169 4.19 0.27 42657951880.15934 5708387.274875353 59417.76348877171
IC1459 660693448.0075965 48977881.93684466 4.95 0.68 251188643150.95822 7253383.240516947 56753.16132521714
NGC4552 275422870.33381635 9120108.393559096 3.7 0.13 263026799189.53815 12861186.2720174 65153.33568153082
NGC300 13803842.646028839 1047128.5480508985 2.43 0.05 2754228703.3381634 1303162.8287874442 54035.02015765845
NGC7793 3801893.9632056127 7762471.166286912 2.16 0.09 4570881896.148752 2088292.0852271079 66178.79380751698
VCC1254 4265795.188015926 10964781.961431852 0.93 0.1 3981071705.5349693 6431951.836689099 71803.04580532831
NGC2778 11220184.54301963 22908676.52767775 1.75 0.26 31622776601.683792 4234126.11267966 72244.99180029353
NGC4379 10964781.961431852 47863009.2322638 1.18 0.04 18620871366.628654 1819129.9051282378 49713.52887782997
NGC4387 15135612.484362071 34673685.045253165 1.27 0.04 15135612484.362072 3457927.9831746356 40119.05612833335
NGC4474 26302679.918953814 100000000.0 2.09 0.08 15488166189.124796 2871959.8747903765 83543.99489277347
NGC4612 22908676.52767775 8912509.381337458 2.3 0.07 18620871366.628654 3484856.623643992 56949.01006616963
NGC4623 16982436.52461746 128824955.16931322 2.16 0.07 14791083881.682072 4302343.150894673 75269.44229095943
ESO-059-01 134896.28825916533 1439000.0 1.06 0.2 145191104.3803281 264898.3789496272 49498.05550924907
ESO-223-09 1288249.551693135 1231000.0 1.98 0.2 812718243.4635835 3038655.553526159 73232.15267938015
IC1959 1174897.5549395303 1362000.0 0.7 0.07 522324032.7135103 1348091.4716827616 68224.44304732002
NGC4163 263026.7991895382 899000.0 0.38 99.99 101377133.86209609 720018.8314152567 92250.59779294278
UGC7369 3467368.504525317 10818000.0 0.84 0.1 616509834.3085866 1474252.3926360826 65907.03585996837
UGC8638 389045.1449942805 2197000.0 0.56 0.06 62797160.78773956 218306.75938359246 88204.06572890317
NGC1483 977237.2209558112 567500.0 1.66 0.12 2708500000.0 1711750.08160091 78416.98997717135
NGC2758 25703957.827688646 3681200.0 2.66 0.19 2280200000.0 634453.509784128 62752.223611182664
NGC3259 7244359.600749906 16217800.0 2.12 0.2 7565400000.0 2527896.093739451 61039.66980192185
NGC3455 5011872.336272725 6397200.0 99.99 99.99 37171100000.0 1647661.6599216692 66266.19489242004
NGC4449 2398832.91901949 7834200.0 1.54 0.08 1926699999.9999998 1694218.9645405621 60247.97058074823
NGC4517 61659500.18614822 701400.0 4.16 0.3 12005900000.0 1127637.2168754172 48547.73985860438
NGC6384 19054607.17963248 12647100.0 12.49 2.19 42756700000.0 9512682.073929409 57339.21939507933
