galaxy M_GCS M_NSC Reff eReff M_gal M_GC_max M_GC_min M_GC_lim
SagdSph 2780000.0 1148153.6214968818 0.0 0.0 131825673.85564047 308386.7989331884 72513.18018406272 382282.1325122492
M31 180000000.0 48977881.93684466 0.0 0.0 89125093813.3744 7619405.759777579 103866.08801919971 14591075.342892068
KK197 380189.39632056124 1023292.9922807537 0.0 0.0 39810717.05534969 363424.62223591027 96267.57014968143 105428.42047946277
MW 45708818.96148752 25118864.315095823 0.7 0.1 60255958607.435684 15639286.741188094 62061.530053204915 9631466.091511164
NGC205 1819700.8586099825 1995262.3149688789 0.66 0.03 1071519305.2376049 574360.4280841921 66969.44097284245 388244.5785931191
NGC5102 1348962.8825916534 74131024.13009177 1.03 0.08 6918309709.189363 7429611.247568853 75753.4127315891 1771760.8459345317
NGC4578 14125375.446227554 52480746.02497723 2.46 0.08 30199517204.02019 4772848.903087092 57156.49342221359 11841952.098530596
NGC1023 138038426.46028867 4365158.322401657 2.19 0.15 42657951880.15934 2083017.945269718 67813.53570934941 12035945.152403079
NGC3115 154881661.89124796 15135612.484362071 1.51 0.06 74131024130.09161 1127624.1985581922 56705.38521842575 9642672.126942404
NGC3384 30902954.32513592 21877616.23949552 1.4 0.09 28840315031.266117 5734791.456742789 50906.23067042704 5437442.782967676
NGC4697 64565422.903465495 27542287.03338169 4.19 0.27 42657951880.15934 5905295.594480746 49543.5702339446 28929957.79033922
IC1459 660693448.0075965 48977881.93684466 4.95 0.68 251188643150.95822 14535676.748802267 68996.32651897766 88069027.36131337
NGC4552 275422870.33381635 9120108.393559096 3.7 0.13 263026799189.53815 13111933.35904969 40639.30359713779 60677991.94895202
NGC300 13803842.646028839 1047128.5480508985 2.43 0.05 2754228703.3381634 2371928.528686695 91656.19090076306 3517594.714128065
NGC7793 3801893.9632056127 7762471.166286912 2.16 0.09 4570881896.148752 1154054.4264612142 53139.56585707707 3867483.771365014
VCC1254 4265795.188015926 10964781.961431852 0.93 0.1 3981071705.5349693 2118337.547053161 57318.80742696985 1174334.9869358686
NGC2778 11220184.54301963 22908676.52767775 1.75 0.26 31622776601.683792 3397170.708851639 60158.33789650452 7670396.249465716
NGC4379 10964781.961431852 47863009.2322638 1.18 0.04 18620871366.628654 17935550.426241506 62174.565541953736 3480607.0859092944
NGC4387 15135612.484362071 34673685.045253165 1.27 0.04 15135612484.362072 10760316.857907478 61065.29860634869 3459886.084187952
NGC4474 26302679.918953814 100000000.0 2.09 0.08 15488166189.124796 1147186.4701250184 49235.14966448128 6810929.736506633
NGC4612 22908676.52767775 8912509.381337458 2.3 0.07 18620871366.628654 3256591.51506809 74614.72744815424 8493830.69346968
NGC4623 16982436.52461746 128824955.16931322 2.16 0.07 14791083881.682072 2568101.9001569576 59637.558991319864 6957107.274906688
ESO-059-01 134896.28825916533 1439000.0 1.06 0.2 145191104.3803281 792490.1371100536 76082.56893168356 281241.6259051298
ESO-223-09 1288249.551693135 1231000.0 1.98 0.2 812718243.4635835 737846.4660307082 93141.18493405009 1450959.5322924762
IC1959 1174897.5549395303 1362000.0 0.7 0.07 522324032.7135103 1361450.6956124934 72922.83541394533 292765.50176745706
NGC4163 263026.7991895382 899000.0 0.38 99.99 101377133.86209609 510505.52842493844 65366.418863504616 65279.42193791299
UGC7369 3467368.504525317 10818000.0 0.84 0.1 616509834.3085866 3207282.559751675 81998.12083321875 404107.48997835984
UGC8638 389045.1449942805 2197000.0 0.56 0.06 62797160.78773956 155833.37129315388 103324.31121933533 89125.11433518807
NGC1483 977237.2209558112 567500.0 1.66 0.12 2708500000.0 716982.0834693722 61794.087088138476 2091731.3236070762
NGC2758 25703957.827688646 3681200.0 2.66 0.19 2280200000.0 281737.51701743423 71193.36067855763 3615503.6141333575
NGC3259 7244359.600749906 16217800.0 2.12 0.2 7565400000.0 5481564.761773871 54050.162513965355 4852178.844785739
NGC4449 2398832.91901949 7834200.0 1.54 0.08 1926699999.9999998 1920183.4224345852 77190.80609377388 1595910.749518429
NGC4517 61659500.18614822 701400.0 4.16 0.3 12005900000.0 4570968.148947535 80423.94052552237 15198656.508434875
NGC6384 19054607.17963248 12647100.0 12.49 2.19 42756700000.0 4462855.603484412 38679.90771554306 129139797.1827154
