#ID Name g eg z ez gz e_gz gz_a egz_a Reg eReg Rez eRez Lg Lz
8 IC2006 18.17  0.12 16.35  0.10 1.82  0.15 1.66  0.06 0.132  0.013 0.139  0.012 0.07 0.08
11 FCC63 15.22  0.07 13.53  0.07 1.70  0.09 1.49  0.04 0.889  0.047 0.927  0.046 0.69 0.71
12 FCC193 17.97  0.07 16.54  0.06 1.43  0.09 1.41  0.05 0.100  0.006 0.097  0.004 0.00 0.00
13 FCC170 17.26  0.04 15.82  0.03 1.45  0.05 1.43  0.03 0.228  0.008 0.207  0.004 0.19 0.15
14 FCC153 19.06  0.05 18.29  0.03 0.77  0.07 0.64  0.04 0.153  0.004 0.153  0.003 0.01 0.00
15 FCC177 17.76  0.09 16.95  0.06 0.82  0.10 0.84  0.03 0.130  0.020 0.099  0.010 0.10 0.06
16 FCC47 16.09  0.19 14.86  0.20 1.24  0.30 1.33  0.05 0.750  0.125 0.612  0.119 0.61 0.56
17 FCC43 21.57  0.21 20.05  0.55 1.52  0.64 0.88  0.06 0.039  0.028 0.127  0.173 0.02 0.16
18 FCC190 19.67  0.17 18.64  0.07 1.03  0.18 0.96  0.05 0.129  0.022 0.121  0.007 0.02 0.01
19 FCC310 18.64  0.22 17.29  0.11 1.35  0.27 1.37  0.08 0.359  0.061 0.328  0.026 0.35 0.30
20 FCC249 20.08  0.12 19.22  0.06 0.85  0.12 0.99  0.08 0.038  0.007 0.018  0.004 0.00 0.00
21 FCC148 16.38  0.16 15.69  0.17 0.70  0.25 0.70  0.03 0.270  0.082 0.233  0.057 0.33 0.29
22 FCC255 20.22  0.03 19.14  0.02 1.08  0.04 0.95  0.03 0.028  0.002 0.023  0.002 0.00 0.00
23 FCC277 20.08  0.16 18.75  0.07 1.33  0.18 1.32  0.06 0.089  0.017 0.082  0.005 0.02 0.01
24 FCC55 20.16  0.02 18.98  0.02 1.18  0.03 1.05  0.03 0.064  0.002 0.057  0.002 0.01 0.00
26 FCC301 20.32  0.03 19.29  0.02 1.03  0.04 0.87  0.03 0.016  0.003 0.015  0.002 0.00 0.00
27 FCC335 19.95  0.02 18.81  0.02 1.14  0.03 1.19  0.03 0.094  0.003 0.066  0.002 0.05 0.02
29 FCC95 21.25  0.04 20.10  0.04 1.15  0.06 1.12  0.04 0.035  0.004 0.013  0.005 0.00 0.00
30 FCC136 20.38  0.03 19.31  0.03 1.07  0.04 0.95  0.03 0.055  0.003 0.042  0.003 0.05 0.03
31 FCC182 22.15  0.07 21.62  0.13 0.53  0.15 0.38  0.15 0.038  0.002 0.038  0.002 0.00 0.00
32 FCC204 20.00  0.10 18.86  0.09 1.13  0.14 1.00  0.03 0.092  0.020 0.093  0.018 0.10 0.10
33 FCC119 20.20  0.02 19.56  0.12 0.63  0.12 0.58  0.05 0.025  0.003 0.030  0.010 0.  0
34 FCC90 21.28  0.08 20.31  0.07 0.97  0.10 0.84  0.07 0.073  0.004 0.066  0.004 0.00 0.00
36 FCC106 20.69  0.04 19.54  0.05 1.15  0.07 1.08  0.04 0.042  0.003 0.036  0.003 0.00 0.00
37 FCC19 20.86  0.04 20.02  0.03 0.85  0.05 0.78  0.03 0.042  0.002 0.032  0.003 0.01 0.01
38 FCC202 20.57  0.02 19.64  0.03 0.94  0.04 0.88  0.03 0.053  0.003 0.047  0.003 0.01 0.01
39 FCC324 22.92  0.04 22.13  0.03 0.79  0.05 0.70  0.04 0.040  0.004 0.028  0.004 0.00 0.00
40 FCC288 21.32  0.03 20.41  0.03 0.91  0.04 0.82  0.03 0.081  0.003 0.075  0.003 0.00 0.00
41 FCC303 19.72  0.03 18.77  0.03 0.96  0.04 0.83  0.03 0.079  0.004 0.078  0.005 0.08 0.08
42 FCC203 21.78  0.08 20.92  0.06 0.86  0.10 0.78  0.04 0.051  0.005 0.040  0.004 0.01 0.01
43 FCC100 21.01  0.04 20.10  0.03 0.91  0.05 0.75  0.03 0.072  0.003 0.071  0.003 0.03 0.02
